program;input;exectime
TowersOfHanoi;9;4000;67170347.0
TowersOfHanoi;10;4000;134967536.0
RecursiveMath;1;4000;245543.0
RecursiveMath;2;4000;2404861.0
RecursiveMath;3;4000;5687552.0
RecursiveMath;4;4000;11717932.0
RecursiveMath;5;4000;17996070.0
RecursiveMath;6;4000;25884355.0
RecursiveMath;7;4000;35215203.0
RecursiveMath;8;4000;48916610.0
RecursiveMath;9;4000;62120764.0
RecursiveMath;10;4000;73655249.0
QuickSort;10;4000;7612730.0
QuickSort;20;4000;20630114.0
QuickSort;50;4000;54630948.0
QuickSort;100;4000;112534454.0
IntReverse;1;5000;245112.0
IntReverse;12;5000;351632.0
IntReverse;123;5000;498980.0
IntReverse;1234;5000;597502.0
IntReverse;12345;5000;690149.0
PrimeSieve;10;5000;1909106.0
PrimeSieve;20;5000;3121255.0
PrimeSieve;50;5000;7303173.0
PrimeSieve;100;5000;14122285.0
PrimeSieve;150;5000;21182324.0
PrimeSieve;200;5000;28989995.0
TowersOfHanoi;1;5000;153064.0
TowersOfHanoi;2;5000;488612.0
TowersOfHanoi;3;5000;1191192.0
TowersOfHanoi;4;5000;2553819.0
TowersOfHanoi;5;5000;5231320.0
TowersOfHanoi;6;5000;10341449.0
TowersOfHanoi;7;5000;21022225.0
TowersOfHanoi;8;5000;42245307.0
TowersOfHanoi;9;5000;84216895.0
TowersOfHanoi;10;5000;168228548.0
RecursiveMath;1;5000;306424.0
RecursiveMath;2;5000;3006216.0
RecursiveMath;3;5000;7150973.0
RecursiveMath;4;5000;14580049.0
RecursiveMath;5;5000;22422755.0
RecursiveMath;6;5000;31936893.0
RecursiveMath;7;5000;43869273.0
RecursiveMath;8;5000;61094242.0
RecursiveMath;9;5000;78342418.0
RecursiveMath;10;5000;91854913.0
QuickSort;10;5000;9567924.0
QuickSort;20;5000;25590278.0
QuickSort;50;5000;66182031.0
QuickSort;100;5000;139633817.0
